symbol,name
ABEVN,Ambev S.A.
ABF,Associated British Foods plc
ABFL,Abacus FCF Leaders ETF
ABFRF,Aberforth Smaller Companies Trust Plc
ABFRL,Aditya Birla Fashion and Retail Ltd.
ABFRL,Aditya Birla Fashion and Retail Ltd.
ABG,ABG Sundal Collier Holding ASA
ABG,Cencora Inc.
ABG,Asbury Automotive Group Inc.
ABG,ABACUS STAPLED
ABG,Cencora Inc.
ABG,Absa Group Ltd.
ABG,Cencora Inc.
ABG,Cencora Inc.
ABG,Abacus Group Holdings Limited
ABGO,ABG Sundal Collier ASA
ABGOF,Abengoa S.A.
ABGSEC,Abrdn Credit Suisse Rock Solid Blue Chip ETF
ABGSF,ABG Sundal Collier Holding ASA
ABHA,Hasen-Immobilien AG
ABHA,Hasen-Immobilien AG
ABHBY,Alfen Beheer B.V. ADR
ABHICAP,Abhinav Capital Services Ltd.
ABHIFIN,Abhishek Finlease Ltd.
ABHIINFRA,Abhishek Infraventures Ltd.
ABHY,Abacus Tactical High Yield Fund
ABI,AB Igrene
ABI,Abcourt Mines Inc.
ABI,Anheuser-Busch InBev SA/NV
ABILF,Ability Inc.
ABIN,Anheuser-Busch InBev SA/NV
ABINFRA,AB Infrabuild Ltd.
ABINFRA,AB Infrabuild Ltd.
ABIRAFN,Abirami Financial Services Ltd.
ABIT,Athena Bitcoin Global
ABJA,ABB Ltd Sponsored ADR
ABJA,ABB Ltd Sponsored ADR
ABJA,ABB Ltd Sponsored ADR
ABJA,ABB Ltd Sponsored ADR
ABJA,ABB Ltd Sponsored ADR
ABK,Aktienbrauerei Kaufbeuren AG
ABK,Aktienbrauerei Kaufbeuren AG
ABKK,Al-Ahli Bank Of Kuwait
ABKP,Abak SA
ABL,Abbott Laboratories
ABL,Abbott Laboratories
ABL,ABL Group ASA
ABL,Abacus Life Inc.
ABL,Abbott Laboratories
ABL,Abbott Laboratories
ABL,Abbott Laboratories
ABL,Abbott Laboratories
ABL,Allied Bank Limited
ABL,Abbott Laboratories
ABLD,Aba Fcf Real Asset Laddered ETF
ABLD,Abl Diagnostics Inc.
ABLG,Abacus FCF International Leadership ETF
ABLGF,Alten S.A.
ABLI,Abliva AB
ABLLL,Abacus Life Inc. 9.875% Preferred Stock
ABLLW,"Abacus Life, Inc. - Warrant"
ABLO,ABL Group ASA
ABLS,Abacus FCF Small Cap Leaders Fund
ABLT,American Biltrite Inc.
ABLV,Able View Global Inc.
ABLVW,Able View Global Inc. - Warrant
ABLZF,ABB Ltd.
ABM,ABM Industries Inc.
ABM,Aben Minerals Ltd.
ABM,Asia Biomass Public Company Limited
ABMBF,Abcourt Mines Inc.
ABMC,American Bio Medica Corp.
ABMINTLLTD,ABM International Ltd.
ABMKNO,ABM Knowledgeware Ltd.
ABMM,Abm Investama Tbk PT
ABMMF,Prodigy Gold NL
ABMRF,ABN AMRO Bank N.V.
ABMT,Advanced Biomedical Technologies Inc.
ABN,ABN AMRO Bank N.V.
ABN,ABN AMRO Bank N.V.
ABNAF,Aben Minerals Ltd.
ABNB,Airbnb Inc.
ABNB,Airbnb Inc.
ABNB,Airbnb Inc.
ABNB,Airbnb Inc.
ABNB,Airbnb Inc.
ABNBD,"Airbnb, Inc."
ABND,Abound Energy Inc.
ABNIC,Al Buhaira National Insurance Co. PSC
ABNX,Abionyx Pharma S.A.
ABO,Clearvise AG
ABO,Clearvise AG
ABO,Abo Group Environment NV
ABO,Clearvise AG
ABO,Clearvise AG
ABO,Clearvise AG
ABO,Clearvise AG
ABOIF,ABOITIZ EQUITY VENTURES INC
ABOS,Acumen Pharmaceuticals Inc.
ABOT,Abacus FCF Innovation Leader Mutual Fund
ABP,2
ABP,Azienda Bresciana Petroli S.p.A.
ABP,Abacus Property Group
ABPR,Airborne Security & Protection Services Inc.
ABPWW,Atlantic Coast Acquisition Corp. Warrants
ABQK,Al Ahli Bank
ABQQ,AB International Group Corp.
ABR,Barrick Gold Corporation
ABR,Barrick Gold Corporation
ABR,Barrick Gold Corporation
ABR,BARRICK GOLD CORP. Registered S
ABR,Barrick Gold Corporation
ABR,Arbor Realty Trust Inc.
ABR,Barrick Gold Corporation
ABR,Barrick Gold Corporation
ABR,Arbor Metals Corp.
ABRA,Abra Information Technologies Inc.
ABRA,Abrasilver Resource Corp.
ABRD,Abrau-Durso Public Joint Stock Company
ABREL,Aditya Birla Real Estate Ltd.
ABREL,Aditya Birla Real Estate Ltd.
ABRMF,Arbor Metals Corp.
ABS,Arctic Bioscience ASA
ABS,Asseco Business Solutions S.A.
ABS,ABS-CBN Corporation
ABSA,Absa Bank Botswana Ltd
ABSCF,"AB Science, Paris"
ABSI,Absci Corporation
ABSLAMC,Aditya Birla Sun Life AMC Ltd.
ABSLAMC,Aditya Birla Sun Life AMC Ltd.
ABSLLIQUID,Aditya Birla Sun Life CRISIL AOFAITF Mutual Fund
ABSLPSE,Aditya Birla Sun Life Mutual F
ABSLPSE,ABSL Nifty PSE Exchange Traded Fund
ABSO,Absolent Air Care Group AB
ABSOF,ABS-CBN Holdings Corporation
ABSP,Asseco Business Solutions SA
ABSP,Absa Bank Ltd. Preferred Stock
ABSSF,AirBoss of America Corp
ABT,Advanced Bitcoin Technologies AG
ABT,Advanced Bitcoin Technologies AG
ABT,Abbott Laboratories
ABT,Abbott Laboratories Cedear
ABT,Abbott Laboratories
ABT,Abbott Laboratories
ABT,Abbott Laboratories Inc.
ABT,Abitare In S.p.A.
ABT,Abbott Laboratories
ABTC,21Shares Bitcoin Single Asset ETP
ABTCL,Abbott Laboratories
ABTD,Abbott Laboratories Cedear
ABTEC,Aqua Bio Technology ASA
ABTG,Alfio Bardolla Training Group S.p.A.
ABTI,Alterola Biotech Inc.
ABTS,Abits Group Inc.
ABTZY,Aboitiz Equity Ventures Inc. - ADR
ABU,Alexander & Baldwin Inc.
ABU,Alexander & Baldwin Inc.
ABUS,Arbutus Biopharma Corporation
ABV,Advanced Braking Technology Limited
ABV,Advanced Braking Technology Ltd.
ABVC,ABVC BioPharma Inc.
ABVE,Above Food Ingredients Inc.
ABVEW,Above Food Corp.
ABVG,Affinity Beverage Group Inc.
ABVL,Arunjyoti Bio Ventures Ltd.
ABVN,Abv Consulting Inc.
ABVX,Abivax S.A.
ABVX,Abivax SA
ABW,Asahi Group Holdings Ltd.
ABW,Asahi Group Holdings Ltd.
ABW,Asahi Group Holdings Ltd.
ABW,Asahi Group Holdings Ltd.
ABW,Asahi Group Holdings Ltd.
ABWN,Airborne Wireless Network Inc.
ABX,Advanced Blockchain AG
ABX,Abx Group Ltd.
ABX,Barrick Gold Corporation
ABX,Advanced Blockchain AG
ABX,ABx Group Limited
ABX,Barrick Gold Corporation
ABX,Advanced Blockchain AG
ABX,Advanced Blockchain AG
ABX,Advanced Blockchain AG
ABXX,Abaxx Technologies Inc.
ABXXF,Abaxx Technologies Inc.
ABY,ADOREBEAUT FPO
ABY,Adore Beauty Group Ltd.
ABZ,AsiabaseMetals Inc.
ABZPF,Aboitiz Power Corp
ABZPY,Aboitiz Power Corp.
ABZUF,Abzu Gold Ltd.
AC,Ayala Corporation
AC,Associated Capital Group Inc.
AC,Accor S.A.
AC,Air Canada
AC,Accor S.A.
AC,Arca Continental S.A.B. de C.V.
ACA,Credit Agricole S.A.
ACA,Acartus SA
ACA,Credit Agricole S.A.
ACA,Arcosa Inc.
ACA,Arcosa Inc.
ACAB,Abpro Holdings Inc.
ACAD,AcadeMedia AB
ACAD,Acadia Pharmaceuticals Inc.
ACAFN,Credit Agricole S.A.
ACAG,Austriacard Holdings AG
ACAG,Austriacard Holdings AG
ACAHW,Atlantic Coastal Acquisition Corp. - Warrant
ACAI,Safeplus International Holdings Ltd.
ACAKI,Crédit Agricole S.A. 3% SUB BDS 02/02/2025 EUR1
ACAKN,Credit Agricole S.A.
ACAKP,Crédit Agricole S.A.
ACAKQ,Credit Agricole S.A.
ACAKR,Crédit Agricole S.A.
ACAKV,Crédit Agricole S.A.
ACAKZ,Crédit Agricole S.A.
ACALB,Credit Agricole S.A.
ACALG,Crédit Agricole S.A.
ACALH,Crédit Agricole S.A.
ACALK,Crédit Agricole S.A.
ACALL,Crédit Agricole S.A.
ACALM,Crédit Agricole S.A.
ACALS,Crédit Agricole S.A.
ACALT,Crédit Agricole S.A.
ACALU,Crédit Agricole S.A.
ACALV,Crédit Agricole S.A.
ACALW,Crédit Agricole S.A.
ACALX,Crédit Agricole S.A.
ACALY,Crédit Agricole S.A.
ACALZ,Credit Agricole S.A.
ACAMA,Crédit Agricole S.A.
ACAMB,Crédit Agricole S.A.
ACAMD,Credit Agricole S.A.
ACAMG,Crédit Agricole S.A.
ACAMH,Crédit Agricole S.A.
ACAMI,Crédit Agricole S.A.
ACAMJ,Credit Agricole S.A.
ACAMK,Crédit Agricole S.A.
ACAML,CASA6.875%PT
ACAMV,Credit Agricole S.A.
ACAMW,Crédit Agricole S.A.
ACAMY,Crédit Agricole S.A.
ACAMZ,Credit Agricole S.A.
ACAN,AmeriCann Inc.
ACAN,Acanthe Developpement S.A.
ACANF,Crédit Agricole S.A.
ACAOB,Crédit Agricole S.A.
ACAOF,Crédit Agricole S.A.
ACAOH,Crédit Agricole S.A.
ACAOT,Crédit Agricole S.A.
ACAPV,Credit Agricole S.A.
ACAQH,Credit Agricole S.A.
ACAQI,Crédit Agricole S.A.
ACAQQ,Crédit Agricole S.A.
ACARIX,Acarix AB
ACASF,ACAST AB
ACAST,Acast AB
ACAXW,Alset Capital Acquisition Corp.
ACAZF,Acadian Timber Corp.
ACB,Aurora Cannabis Inc.
ACB,Aurora Cannabis Inc.
ACBB,Alpha Services and Holdings S.A.
ACBB,Alpha Services and Holdings S.A.
ACBB,Alpha Services and Holdings S.A.
ACBB,Alpha Services and Holdings S.A.
ACBB,Alpha Services and Holdings S.A.
ACBC,Alpha Services and Holdings S.A.
ACBC,Alpha Services and Holdings S.A.
ACBC,Alpha Services and Holdings S.A.
ACBCQ,Albina Community Bancorp
ACBD,Annabidiol Corp
ACBM,"Acro Biomedical Co., Ltd."
ACC,Pulsar Group Plc
ACC,Acc Ltd.
ACC,Advanced Connection Corp PCL
ACC,Aker Carbon Capture ASA
ACC,Acc Ltd.
ACCA,"Arch Resources, Inc."
ACCA,Arch Resources Inc
ACCB,Accentis N.V.
ACCD,Accolade Inc.
ACCEDERE,Accedere Ltd.
ACCEL,Accel Ltd.
ACCELERATE,Acceleratebs India Ltd.
ACCELSAB,Accel S.A.B. de C.V.
ACCELYA,Accelya Solutions India Ltd.
ACCELYA,Accelya Solutions India Ltd.
ACCFF,Accord Financial Corp.
ACCL,Accel Solutions Group Ltd.
ACCMF,AAC Clyde Space AB
ACCN,Accor S.A.
ACCO,Acco Brands Corporation
ACCO,Aker Carbon Capture ASA
ACCON,Acconeer AB
ACCR,Access-Power & Co. Inc.
ACCS,Access Newswire Inc.
ACCURACY,Accuracy Shipping Ltd.
ACCYY,Accor S.A. Sponsored ADR
ACD,Adecoagro S.A.
ACD,Adecoagro S.A.
ACD,Adecoagro S.A.
ACD,Accord Financial Corp.
ACD,Adecoagro S.A.
ACD,Adecoagro S.A.
ACDBF,Ac/Dc Battery Metals Inc.
ACDC,ProFrac Holding Corp.
ACDC,Ac/Dc Battery Metals Inc.
ACDSF,CapitaLand Ascendas REIT
ACDVF,Air Canada
ACDX,American Copper Development Corp.
ACDXD,American Copper Development
ACE,Acerinox SA
ACE,Acusensus Limited
ACE,Absolute Clean Energy Public Company Limited
ACE,Ascelia Pharma AB
ACE,Action Construction Equipment Ltd.
ACE,Action Construction Equipment Ltd.
ACE,Acerinox S.A. Unsponsored ADR
ACE,Acusensus Ltd.
ACE,Acerinox S.A. Unsponsored ADR
ACE,Acea S.p.A.
ACEEDU,Ace Edutrend Ltd.
ACEENGITEC,ACE ENGITECH LIMITED
ACEHF,Aspirasi Hidup Indonesia Tbk.
ACEINTEG,Ace Integrated Solutions Ltd.
ACEJF,Acea Spar
ACEL,Accel Entertainment Inc.
ACEMEN,Ace Men Engg Works Ltd.
ACEN,Acen Corporation
ACES,Aspirasi Hidup Indonesia Tbk
ACESOFT,Ace Software Exports Ltd.
ACET,"Adicet Bio, Inc."
ACEYY,Acer Inc. Sponsored GDR Reg S
ACF,Acrow Formwork and Construction Services Limited
ACF,Acrow Ltd.
ACFL,Amc Financial Holdings Inc.
ACFN,Acorn Energy Inc.
ACG,Autocorp Holding Public Company Limited
ACG,Arcadis N.V.
ACG,ACG Metals Ltd.               R
ACG,ACG Acquisition Co. Ltd.
ACG,ACG Metals Ltd.
ACGAF,ACG Metals Ltd.
ACGBF,Agricultural Bank of China Ltd.
ACGBY,Agricultural Bank of China Ltd.
ACGL,Arch Capital Group Ltd.
ACGL,Automobile Corporation of Goa Ltd.
ACGLN,Arch Capital Group Ltd. Preferred Stock 4.55% Perpetual
ACGLO,Arch Capital Group Ltd. 5.45% Perpetual Preferred Stock
ACGP,AC SA
ACGR,American Century Large Cap Growth Fund
ACGX,Alliance Creative Group Inc.
ACGYF,Subsea 7 S.A.
ACH,Algoma Central Corporation
ACH,Algoma Central Corporation
ACHC,"Acadia Healthcare Company, Inc."
ACHC,"Acadia Healthcare Company, Inc."
ACHFF,Arch Biopartners Inc.
ACHL,Achilles Therapeutics plc - ADR
ACHR,Archer Aviation Inc.
ACHV,Achieve Life Sciences Inc.
ACHYUT,Achyut Healthcare Ltd.
ACI,"Albertsons Companies, Inc."
ACI,Archean Chemical Industries Ltd.
ACI,Archean Chemical Industries Ltd.
ACIC,Acico Industries Co.[KSCC]
ACIC,American Coastal Insurance Corp.
ACIGLO,Investeringsforeningen Advic AciGlo
ACIIN,Aci Infocom Ltd.
ACIU,Acimmune SA
ACIW,Aci Worldwide Inc.
ACIXF,Acarix AB
ACJ,Altri SGPS S.A.
ACJ,Altri SGPS S.A.
ACJ,Altri SGPS S.A.
ACJ,Altri SGPS S.A.
ACJJF,"Acom Co., Ltd."
ACK,"Fuji Oil Co., Ltd."
ACK,"Fuji Oil Co., Ltd."
ACKAY,Arcelik A.S.
ACKB,Ackermans & Van Haaren N.V.
ACKB,Ackermans & Van Haaren N.V.
ACKDF,Auckland International Airport Ltd.
ACKNIT,Acknit Industries Ltd.
ACKO,Yuzhural Asko PJSC
ACKR,Ackerstein Group Ltd.
ACKRF,American Creek Resources Ltd.
ACL,Australian Clinical Labs Ltd.
ACL,Andhra Cements Ltd.
ACL,ArcelorMittal South Africa Ltd.
ACL,Andhra Cements Ltd.
ACL,AUCLINICAL FPO
ACLC,American Century Large Cap Equity Fund
ACLD,Aelea Commodities Ltd.
ACLEW,ALTERNUS CLEAN ENERGY INC
ACLGATI,Allcargo Gati Ltd.
ACLGATI,Allcargo Gati Ltd.
ACLHF,Acme Lithium Inc.
ACLIF,Accelleron Industries AG
ACLLF,Atco Ltd.
ACLLY,Accelleron Industries AG
ACLN,Accelleron Industries AG
ACLO,TCW AAA CLO ETF
ACLS,"Axcelis Technologies, Inc."
ACLS,Axcelis Technologies Inc.
ACLTF,Atco Ltd.
ACLX,Arcellx Inc.
ACM,Australian Critical Minerals Ltd.
ACM,AUSCRITMIN FPO
ACM,Aecom
ACMB,Agro Capital Management Corp.
ACMDY,Atlas Consolidated Mining & Development Corp. ADR
ACME,Acme Lithium Inc.
ACME,Acme Resources Ltd.
ACMESOLAR,Acme Solar Holdings Ltd.
ACMESOLAR,Acme Solar Holdings Ltd.
ACML,Ambika Cotton Mills Ltd.
ACMNF,Arc Minerals Ltd.
ACMR,Acm Research Inc.
ACMT,Acmat Corporation
ACMTA,Acmat Corporation
ACN,Aspocomp Group Oyj
ACN,Accenture plc
ACN,Accenture plc
ACN,Aspocomp Group Oyj
ACNB,ACNB Corp.
ACNCL,Accenture plc
ACND,Accenture plc
ACNDF,Ascendas India Trust
ACNE,Alice Consolidated Mining Inc.
ACNFF,Acomo N.V.
ACNI,"American Community Newspaper Holdings, Inc."
ACNN,Accenture plc
ACNT,Ascent Industries Co.
ACNV,Accelera Innovations Inc.
ACO,Atlas Copco AB - Sponsored ADR Class A
ACOG,Alpha Cognition Inc.
ACOGD,Alpha Cognition Inc.
ACOGF,Alpha Cognition Inc.
ACOLF,"Adastria Co., Ltd."
ACOMO,Acomo N.V.
